ds,y
2010-06-22,5934
2010-06-23,14801
2010-06-24,12623
2010-06-25,6910
2010-06-27,9087
2010-06-28,31094
2010-06-29,18578
2010-06-30,18396
2010-07-01,14550
2010-07-02,7980
2010-07-04,4820
2010-07-05,13775
2010-07-06,9857
2010-07-07,12693
2010-07-08,10489
2010-07-09,13245
2010-07-11,5351
2010-07-12,8492
2010-07-13,8079
2010-07-14,11563
2010-07-15,25657
2010-07-16,31048
2010-07-18,8708
2010-07-19,17162
2010-07-20,10383
2010-07-21,11352
2010-07-22,12617
2010-07-23,11758
2010-07-25,10750
2010-07-26,13832
2010-07-27,13378
2010-07-28,12182
2010-07-29,11863
2010-07-30,7858
2010-08-01,8832
2010-08-02,11041
2010-08-03,15403
2010-08-04,9706
2010-08-05,60598
2010-08-06,8588
2010-08-08,7017
2010-08-09,77103
2010-08-10,17186
2010-08-11,7218
2010-08-12,15299
2010-08-13,16579
2010-08-15,15228
2010-08-16,11370
2010-08-17,16166
2010-08-18,20490
2010-08-19,19921
2010-08-20,12899
2010-08-22,12069
2010-08-23,11772
2010-08-24,17716
2010-08-25,15691
2010-08-26,15229
2010-08-27,6380
2010-08-29,7311
2010-08-31,12769
2010-09-01,11745
2010-09-02,18036
2010-09-03,28210
2010-09-05,6327
2010-09-06,14586
2010-09-07,12789
2010-09-08,9000
2010-09-09,11911
2010-09-10,9465
2010-09-12,8320
2010-09-13,26160
2010-09-14,10024
2010-09-15,24372
2010-09-16,12963
2010-09-17,10734
2010-09-19,12669
2010-09-20,23137
2010-09-21,34017
2010-09-22,13641
2010-09-23,20592
2010-09-24,25829
2010-09-26,12046
2010-09-27,101956
2010-09-28,20563
2010-09-29,18598
2010-09-30,23163
2010-10-01,20732
2010-10-03,18002
2010-10-04,21195
2010-10-05,29751
2010-10-06,20457
2010-10-07,27180
2010-10-08,38837
2010-10-10,11286
2010-10-11,22337
2010-10-12,26610
2010-10-13,38248
2010-10-14,34186
2010-10-15,19839
2010-10-17,17555
2010-10-18,17896
2010-10-19,23543
2010-10-20,22222
2010-10-21,16221
2010-10-22,21380
2010-10-24,14306
2010-10-25,12780
2010-10-26,23639
2010-10-27,14490
2010-10-28,12918
2010-10-29,24010
2010-10-31,14421
2010-11-01,12444
2010-11-02,22413
2010-11-03,21769
2010-11-04,57748
2010-11-05,20799
2010-11-07,17353
2010-11-08,31403
2010-11-09,32838
2010-11-10,31489
2010-11-11,30177
2010-11-12,21163
2010-11-14,16320
2010-11-15,35323
2010-11-16,36419
2010-11-17,25724
2010-11-18,19101
2010-11-19,23720
2010-11-21,16348
2010-11-22,17604
2010-11-23,24008
2010-11-24,26308
2010-11-25,34959
2010-11-26,16049
2010-11-28,15218
2010-11-29,36455
2010-11-30,23554
2010-12-01,46912
2010-12-02,58774
2010-12-03,27040
2010-12-05,29998
2010-12-06,40800
2010-12-07,46560
2010-12-08,42436
2010-12-09,37940
2010-12-10,18697
2010-12-12,9884
2010-12-13,14789
2010-12-14,18569
2010-12-15,16812
2010-12-16,26470
2010-12-17,15680
2010-12-19,3151
2010-12-20,14272
2010-12-21,13743
2010-12-22,2993
2010-12-23,4551
2011-01-04,7235
2011-01-05,16481
2011-01-06,20569
2011-01-07,14352
2011-01-09,7172
2011-01-10,11509
2011-01-11,21693
2011-01-12,8899
2011-01-13,8797
2011-01-14,21677
2011-01-16,3852
2011-01-17,11303
2011-01-18,81948
2011-01-19,15514
2011-01-20,9437
2011-01-21,13624
2011-01-23,4481
2011-01-24,11138
2011-01-25,13786
2011-01-26,9857
2011-01-27,10556
2011-01-28,15075
2011-01-30,3117
2011-01-31,12323
2011-02-01,13759
2011-02-02,8276
2011-02-03,14734
2011-02-04,11879
2011-02-06,1833
2011-02-07,8353
2011-02-08,9339
2011-02-09,6309
2011-02-10,11291
2011-02-11,9412
2011-02-13,2529
2011-02-14,11789
2011-02-15,21534
2011-02-16,14973
2011-02-17,13479
2011-02-18,8129
2011-02-20,4922
2011-02-21,20121
2011-02-22,20090
2011-02-23,12690
2011-02-24,10848
2011-02-25,9769
2011-02-27,4503
2011-02-28,8790
2011-03-01,10780
2011-03-02,8066
2011-03-03,18859
2011-03-04,12627
2011-03-06,4326
2011-03-07,12185
2011-03-08,13394
2011-03-09,13581
2011-03-10,14744
2011-03-11,9875
2011-03-13,2445
2011-03-14,15800
2011-03-15,8130
2011-03-16,12110
2011-03-17,17220
2011-03-18,12943
2011-03-20,13140
2011-03-21,9369
2011-03-22,13491
2011-03-23,12837
2011-03-24,16921
2011-03-25,12612
2011-03-27,3683
2011-03-28,11095
2011-03-29,31030
2011-03-30,19513
2011-03-31,15520
2011-04-01,16596
2011-04-03,5061
2011-04-04,12149
2011-04-05,14774
2011-04-06,8369
2011-04-07,9203
2011-04-08,12051
2011-04-10,5023
2011-04-11,12223
2011-04-12,14278
2011-04-13,16467
2011-04-14,16925
2011-04-15,11409
2011-04-17,7546
2011-04-18,25017
2011-04-19,12353
2011-04-20,17375
2011-04-21,16024
2011-04-26,14477
2011-04-27,16385
2011-04-28,12146
2011-05-01,3533
2011-05-03,11460
2011-05-04,15235
2011-05-05,15531
2011-05-06,18403
2011-05-08,10010
2011-05-09,11942
2011-05-10,17931
2011-05-11,17789
2011-05-12,35457
2011-05-13,13787
2011-05-15,4318
2011-05-16,14802
2011-05-17,25595
2011-05-18,17780
2011-05-19,16765
2011-05-20,14153
2011-05-22,11196
2011-05-23,16322
2011-05-24,14977
2011-05-25,11939
2011-05-26,14893
2011-05-27,15067
2011-05-29,3549
2011-05-31,10718
2011-06-01,10282
2011-06-02,12493
2011-06-03,7254
2011-06-05,12580
2011-06-06,8520
2011-06-07,16799
2011-06-08,19295
2011-06-09,26479
2011-06-10,9833
2011-06-12,8643
2011-06-13,10369
2011-06-14,13605
2011-06-15,28609
2011-06-16,18979
2011-06-17,11207
2011-06-19,13871
2011-06-20,14677
2011-06-21,13365
2011-06-22,14893
2011-06-23,13623
2011-06-24,9166
2011-06-26,3372
2011-06-27,8647
2011-06-28,20547
2011-06-29,11046
2011-06-30,20928
2011-07-01,7351
2011-07-03,2891
2011-07-04,13086
2011-07-05,20368
2011-07-06,17334
2011-07-07,17527
2011-07-08,11288
2011-07-10,3552
2011-07-11,13276
2011-07-12,12273
2011-07-13,15070
2011-07-14,19435
2011-07-15,6695
2011-07-17,10175
2011-07-18,13872
2011-07-19,27674
2011-07-20,16388
2011-07-21,17740
2011-07-22,9352
2011-07-24,16450
2011-07-25,14556
2011-07-26,12480
2011-07-27,13397
2011-07-28,28888
2011-07-29,10704
2011-07-31,20237
2011-08-01,10439
2011-08-02,14539
2011-08-03,15107
2011-08-04,38215
2011-08-05,11848
2011-08-07,4571
2011-08-08,11860
2011-08-09,15376
2011-08-10,12658
2011-08-11,38241
2011-08-12,11362
2011-08-14,2812
2011-08-15,9119
2011-08-16,10393
2011-08-17,24554
2011-08-18,32241
2011-08-19,9759
2011-08-21,6919
2011-08-22,13862
2011-08-23,13787
2011-08-24,25061
2011-08-25,12205
2011-08-26,17336
2011-08-28,6347
2011-08-30,9227
2011-08-31,11960
2011-09-01,25437
2011-09-02,17652
2011-09-04,10262
2011-09-05,21751
2011-09-06,14032
2011-09-07,15348
2011-09-08,16530
2011-09-09,16402
2011-09-11,19620
2011-09-12,16552
2011-09-13,35296
2011-09-14,13036
2011-09-15,27786
2011-09-16,14731
2011-09-18,7944
2011-09-19,27637
2011-09-20,42307
2011-09-21,19880
2011-09-22,30953
2011-09-23,19906
2011-09-25,18102
2011-09-26,13659
2011-09-27,19658
2011-09-28,23460
2011-09-29,25232
2011-09-30,21656
2011-10-02,7765
2011-10-03,24951
2011-10-04,24757
2011-10-05,43347
2011-10-06,32890
2011-10-07,28661
2011-10-09,7079
2011-10-10,24801
2011-10-11,26787
2011-10-12,16392
2011-10-13,16916
2011-10-14,16620
2011-10-16,8204
2011-10-17,29018
2011-10-18,27145
2011-10-19,18178
2011-10-20,39162
2011-10-21,23759
2011-10-23,6324
2011-10-24,24404
2011-10-25,25144
2011-10-26,18953
2011-10-27,32450
2011-10-28,22731
2011-10-30,18692
2011-10-31,20122
2011-11-01,15670
2011-11-02,26909
2011-11-03,30053
2011-11-04,33768
2011-11-06,21346
2011-11-07,30185
2011-11-08,24710
2011-11-09,34451
2011-11-10,35579
2011-11-11,26940
2011-11-13,19376
2011-11-14,44006
2011-11-15,28415
2011-11-16,31273
2011-11-17,29836
2011-11-18,23085
2011-11-20,18101
2011-11-21,24765
2011-11-22,32514
2011-11-23,35827
2011-11-24,24549
2011-11-25,30516
2011-11-27,10584
2011-11-28,27761
2011-11-29,29312
2011-11-30,26012
2011-12-01,25319
2011-12-02,26622
2011-12-04,11624
2011-12-05,40899
2011-12-06,28730
2011-12-07,40511
2011-12-08,33243
2011-12-09,93175
